SRM1312A,076010092    ,    6,DR-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-11&GLB&9426               Åú
SRM1312A,076010091    ,    6,DY-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-10&GLB&9425               Åú
SRM1312A,076010090    ,   10,DZ-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-2-9&TLK&9424                Åú
SRM1312A,076010089    ,    6,DZ-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-8&GLB&9423                Åú
SRM1312A,076010088    ,    6,DS-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-7&GLB&9422                Åú
SRM1312A,076010087    ,    6,WA-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX60  ,201901Aï÷#8-2-6&SLU&9421                Åú
SRM1312A,076010086    ,    6,WA-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX28  ,201901Aï÷#8-2-5&CLS&9420                Åú
SRM1312A,076010085    ,   10,WA-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-2-4&TLK&9419                Åú
SRM1312A,076010084    ,   10,WA-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-3&GLB&9418                Åú
SRM1312A,076010083    ,    6,DD-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX44  ,201901Aï÷#8-2-2&XLN&9417                Åú
SRM1312A,076010082    ,   10,DD-AB07H-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-2-1&TLK&9416                Åú
